,Año,Trimestre,Provincia,Mbps (Media de bajada),Objetivo velocidad media de bajada,Total a alcanzar
0,2022,3,Buenos Aires,70,7,77
1,2022,3,Capital Federal,101,10,111
2,2022,3,Catamarca,61,6,67
3,2022,3,Chaco,53,5,58
4,2022,3,Chubut,16,2,18
5,2022,3,Córdoba,56,6,62
6,2022,3,Corrientes,45,4,49
7,2022,3,Entre Ríos,42,4,46
8,2022,3,Formosa,30,3,33
9,2022,3,Jujuy,32,3,35
10,2022,3,La Pampa,18,2,20
11,2022,3,La Rioja,44,4,48
12,2022,3,Mendoza,34,3,37
13,2022,3,Misiones,49,5,54
14,2022,3,Neuquén,48,5,53
15,2022,3,Río Negro,34,3,37
16,2022,3,Salta,41,4,45
17,2022,3,San Juan,16,2,18
18,2022,3,San Luis,19,2,21
19,2022,3,Santa Cruz,13,1,14
20,2022,3,Santa Fe,45,4,49
21,2022,3,Santiago Del Estero,18,2,20
22,2022,3,Tierra Del Fuego,11,1,12
23,2022,3,Tucumán,53,5,58
24,2022,2,Buenos Aires,66,7,73
25,2022,2,Capital Federal,94,9,103
26,2022,2,Catamarca,57,6,63
27,2022,2,Chaco,51,5,56
28,2022,2,Chubut,15,2,17
29,2022,2,Córdoba,54,5,59
30,2022,2,Corrientes,43,4,47
31,2022,2,Entre Ríos,40,4,44
32,2022,2,Formosa,28,3,31
33,2022,2,Jujuy,29,3,32
34,2022,2,La Pampa,16,2,18
35,2022,2,La Rioja,43,4,47
36,2022,2,Mendoza,30,3,33
37,2022,2,Misiones,46,5,51
38,2022,2,Neuquén,47,5,52
39,2022,2,Río Negro,33,3,36
40,2022,2,Salta,39,4,43
41,2022,2,San Juan,14,1,15
42,2022,2,San Luis,19,2,21
43,2022,2,Santa Cruz,12,1,13
44,2022,2,Santa Fe,42,4,46
45,2022,2,Santiago Del Estero,16,2,18
46,2022,2,Tierra Del Fuego,11,1,12
47,2022,2,Tucumán,50,5,55
48,2022,1,Buenos Aires,63,6,69
49,2022,1,Capital Federal,88,9,97
50,2022,1,Catamarca,51,5,56
51,2022,1,Chaco,46,5,51
52,2022,1,Chubut,13,1,14
53,2022,1,Córdoba,50,5,55
54,2022,1,Corrientes,38,4,42
55,2022,1,Entre Ríos,36,4,40
56,2022,1,Formosa,30,3,33
57,2022,1,Jujuy,28,3,31
58,2022,1,La Pampa,15,2,17
59,2022,1,La Rioja,41,4,45
60,2022,1,Mendoza,26,3,29
61,2022,1,Misiones,42,4,46
62,2022,1,Neuquén,43,4,47
63,2022,1,Río Negro,31,3,34
64,2022,1,Salta,37,4,41
65,2022,1,San Juan,12,1,13
66,2022,1,San Luis,21,2,23
67,2022,1,Santa Cruz,11,1,12
68,2022,1,Santa Fe,39,4,43
69,2022,1,Santiago Del Estero,14,1,15
70,2022,1,Tierra Del Fuego,11,1,12
71,2022,1,Tucumán,47,5,52
